input_range,reps,entanglement,C,fold_accuracy,fold_balanced_accuracy,fold_roc_auc,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,centered_kernel_target_alignment,within_class_similarity_mean,between_class_similarity_mean,within_minus_between_similarity,off_diagonal_mean,off_diagonal_std,effective_rank,minimum_eigenvalue
minus_one_to_one,2,full,1.0,"[0.7142857142857143, 0.7857142857142857, 0.8571428571428571, 0.6428571428571429, 0.7857142857142857]","[0.7142857142857142, 0.7857142857142857, 0.8571428571428572, 0.6428571428571428, 0.7857142857142857]","[0.7908163265306123, 0.8418367346938775, 0.9336734693877551, 0.7295918367346939, 0.8316326530612245]",0.7571428571428571,0.07284313590846832,0.7571428571428571,0.0728431359084684,0.8255102040816327,0.0669437529259458,0.09494799694631617,0.1446609688971942,0.11751773386397496,0.02714323503321925,0.13099171384449387,0.2110748176862555,14.61700470260368,1.4377694929663752e-09
minus_one_to_one,2,full,10.0,"[0.75, 0.6785714285714286, 0.7857142857142857, 0.6428571428571429, 0.7857142857142857]","[0.75, 0.6785714285714286, 0.7857142857142857, 0.6428571428571428, 0.7857142857142857]","[0.8010204081632653, 0.8112244897959184, 0.8775510204081631, 0.7295918367346939, 0.7857142857142857]",0.7285714285714285,0.058028845747399686,0.7285714285714285,0.05802884574739973,0.8010204081632653,0.047533937546335135,0.09494799694631617,0.1446609688971942,0.11751773386397496,0.02714323503321925,0.13099171384449387,0.2110748176862555,14.61700470260368,1.4377694929663752e-09
minus_one_to_one,2,full,100.0,"[0.7142857142857143, 0.6785714285714286, 0.7857142857142857, 0.4642857142857143, 0.7142857142857143]","[0.7142857142857143, 0.6785714285714286, 0.7857142857142857, 0.4642857142857143, 0.7142857142857143]","[0.8163265306122449, 0.6989795918367347, 0.6938775510204082, 0.5153061224489796, 0.7755102040816326]",0.6714285714285715,0.10926470386270253,0.6714285714285715,0.10926470386270253,0.7,0.10332860849144351,0.09494799694631617,0.1446609688971942,0.11751773386397496,0.02714323503321925,0.13099171384449387,0.2110748176862555,14.61700470260368,1.4377694929663752e-09
zero_to_one,1,linear,0.1,"[0.75, 0.7142857142857143, 0.7142857142857143, 0.8214285714285714, 0.6785714285714286]","[0.75, 0.7142857142857143, 0.7142857142857143, 0.8214285714285714, 0.6785714285714286]","[0.7295918367346939, 0.7551020408163265, 0.5867346938775511, 0.8367346938775511, 0.7397959183673469]",0.7357142857142858,0.04844521416518047,0.7357142857142858,0.04844521416518047,0.7295918367346939,0.08079931793807817,0.11141581196868218,0.3241518178007661,0.2577474302806305,0.06640438752013555,0.2907107593373885,0.3563804421785985,4.605074204806306,-5.364239971077326e-18
zero_to_one,1,linear,1.0,"[0.7142857142857143, 0.7857142857142857, 0.7142857142857143, 0.75, 0.7857142857142857]","[0.7142857142857143, 0.7857142857142857, 0.7142857142857143, 0.75, 0.7857142857142857]","[0.8112244897959184, 0.8469387755102041, 0.7755102040816326, 0.8571428571428572, 0.8877551020408164]",0.75,0.03194382824999698,0.75,0.03194382824999698,0.8357142857142857,0.03877551020408167,0.11141581196868218,0.3241518178007661,0.2577474302806305,0.06640438752013555,0.2907107593373885,0.3563804421785985,4.605074204806306,-5.364239971077326e-18
zero_to_one,1,linear,10.0,"[0.7142857142857143, 0.8214285714285714, 0.7142857142857143, 0.6785714285714286, 0.8571428571428571]","[0.7142857142857143, 0.8214285714285714, 0.7142857142857143, 0.6785714285714286, 0.8571428571428572]","[0.8163265306122449, 0.8418367346938777, 0.9285714285714285, 0.7857142857142857, 0.8673469387755102]",0.7571428571428572,0.06925256939166181,0.7571428571428572,0.06925256939166184,0.8479591836734693,0.048552560217838006,0.11141581196868218,0.3241518178007661,0.2577474302806305,0.06640438752013555,0.2907107593373885,0.3563804421785985,4.605074204806306,-5.364239971077326e-18
zero_to_one,1,linear,100.0,"[0.75, 0.7857142857142857, 0.8928571428571429, 0.6785714285714286, 0.8571428571428571]","[0.75, 0.7857142857142857, 0.8928571428571428, 0.6785714285714286, 0.8571428571428572]","[0.8520408163265305, 0.8112244897959183, 0.8826530612244897, 0.7908163265306122, 0.9030612244897959]",0.7928571428571428,0.07626484465736649,0.7928571428571428,0.07626484465736649,0.8479591836734693,0.04212197436846998,0.11141581196868218,0.3241518178007661,0.2577474302806305,0.06640438752013555,0.2907107593373885,0.3563804421785985,4.605074204806306,-5.364239971077326e-18
zero_to_one,1,full,0.1,"[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.75]","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7857142857142858, 0.75]","[0.7908163265306123, 0.7295918367346939, 0.5561224489795918, 0.806122448979592, 0.8061224489795918]",0.7357142857142857,0.028571428571428557,0.7357142857142858,0.0285714285714286,0.7377551020408164,0.09510072697699805,0.10758645534517385,0.2914162198705492,0.23832245442515962,0.0530937654453896,0.26467835238006526,0.2998179876575384,6.026062277928805,1.497635165855067e-14
zero_to_one,1,full,1.0,"[0.6785714285714286, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.75]","[0.6785714285714286, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.75]","[0.8418367346938775, 0.8520408163265306, 0.8826530612244898, 0.8214285714285714, 0.8418367346938775]",0.7214285714285715,0.041649656391752124,0.7214285714285715,0.041649656391752124,0.8479591836734695,0.01999583463496474,0.10758645534517385,0.2914162198705492,0.23832245442515962,0.0530937654453896,0.26467835238006526,0.2998179876575384,6.026062277928805,1.497635165855067e-14
zero_to_one,1,full,10.0,"[0.7142857142857143, 0.8214285714285714, 0.8928571428571429, 0.6785714285714286, 0.7857142857142857]","[0.7142857142857143, 0.8214285714285714, 0.8928571428571428, 0.6785714285714286, 0.7857142857142858]","[0.8214285714285715, 0.8520408163265306, 0.9387755102040817, 0.7346938775510204, 0.7500000000000001]",0.7785714285714285,0.0762648446573665,0.7785714285714285,0.07626484465736648,0.8193877551020409,0.07390742433564006,0.10758645534517385,0.2914162198705492,0.23832245442515962,0.0530937654453896,0.26467835238006526,0.2998179876575384,6.026062277928805,1.497635165855067e-14
zero_to_one,1,full,100.0,"[0.75, 0.7857142857142857, 0.8928571428571429, 0.6428571428571429, 0.75]","[0.75, 0.7857142857142857, 0.8928571428571428, 0.6428571428571429, 0.75]","[0.8214285714285714, 0.8061224489795918, 0.8826530612244898, 0.6887755102040817, 0.7397959183673468]",0.7642857142857142,0.08017837257372731,0.7642857142857142,0.08017837257372727,0.7877551020408162,0.06719215360471155,0.10758645534517385,0.2914162198705492,0.23832245442515962,0.0530937654453896,0.26467835238006526,0.2998179876575384,6.026062277928805,1.497635165855067e-14
zero_to_one,2,linear,0.1,"[0.7142857142857143, 0.75, 0.7142857142857143, 0.7857142857142857, 0.75]","[0.7142857142857143, 0.75, 0.7142857142857143, 0.7857142857142858, 0.75]","[0.770408163265306, 0.8214285714285714, 0.6989795918367347, 0.8775510204081632, 0.8010204081632654]",0.7428571428571429,0.026726124191242425,0.7428571428571429,0.026726124191242463,0.7938775510204081,0.05893685338038223,0.14277911813915498,0.3000618218878294,0.22547395642867216,0.07458786545915727,0.26249958748393726,0.3166741600186386,5.710274670444202,1.563442042936616e-14
zero_to_one,2,linear,1.0,"[0.7142857142857143, 0.75, 0.7142857142857143, 0.75, 0.7857142857142857]","[0.7142857142857143, 0.75, 0.7142857142857143, 0.75, 0.7857142857142857]","[0.8061224489795918, 0.8571428571428572, 0.7908163265306123, 0.8367346938775511, 0.8673469387755102]",0.7428571428571429,0.026726124191242425,0.7428571428571429,0.026726124191242425,0.8316326530612246,0.02922004298627826,0.14277911813915498,0.3000618218878294,0.22547395642867216,0.07458786545915727,0.26249958748393726,0.3166741600186386,5.710274670444202,1.563442042936616e-14
zero_to_one,2,linear,10.0,"[0.7142857142857143, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.8571428571428571]","[0.7142857142857143, 0.7857142857142857, 0.7142857142857143, 0.6785714285714286, 0.8571428571428572]","[0.8061224489795918, 0.7806122448979592, 0.8622448979591837, 0.826530612244898, 0.8571428571428571]",0.7500000000000001,0.06388765649999396,0.7500000000000001,0.063887656499994,0.826530612244898,0.030781843120404793,0.14277911813915498,0.3000618218878294,0.22547395642867216,0.07458786545915727,0.26249958748393726,0.3166741600186386,5.710274670444202,1.563442042936616e-14
zero_to_one,2,linear,100.0,"[0.75, 0.7857142857142857, 0.8571428571428571, 0.6785714285714286, 0.7857142857142857]","[0.75, 0.7857142857142857, 0.8571428571428572, 0.6785714285714286, 0.7857142857142857]","[0.8061224489795918, 0.7602040816326531, 0.8622448979591837, 0.8265306122448979, 0.7908163265306122]",0.7714285714285714,0.05802884574739969,0.7714285714285714,0.05802884574739973,0.8091836734693878,0.034240738235841874,0.14277911813915498,0.3000618218878294,0.22547395642867216,0.07458786545915727,0.26249958748393726,0.3166741600186386,5.710274670444202,1.563442042936616e-14
zero_to_one,2,full,0.1,"[0.6785714285714286, 0.75, 0.6785714285714286, 0.8214285714285714, 0.7142857142857143]","[0.6785714285714286, 0.75, 0.6785714285714286, 0.8214285714285714, 0.7142857142857143]","[0.7857142857142857, 0.8010204081632654, 0.7806122448979591, 0.8520408163265306, 0.7755102040816326]",0.7285714285714286,0.05345224838248485,0.7285714285714286,0.05345224838248485,0.7989795918367346,0.027870408742342184,0.1320122656512469,0.2368274972639913,0.18172619009347635,0.05510130717051495,0.20907863753783268,0.2689219788498125,8.173476610954625,1.458033026738422e-12
zero_to_one,2,full,1.0,"[0.7142857142857143, 0.8214285714285714, 0.7142857142857143, 0.6785714285714286, 0.75]","[0.7142857142857143, 0.8214285714285714, 0.7142857142857143, 0.6785714285714286, 0.75]","[0.826530612244898, 0.8418367346938775, 0.8673469387755102, 0.8010204081632654, 0.8724489795918368]",0.7357142857142858,0.04844521416518047,0.7357142857142858,0.04844521416518047,0.8418367346938774,0.02641261041947913,0.1320122656512469,0.2368274972639913,0.18172619009347635,0.05510130717051495,0.20907863753783268,0.2689219788498125,8.173476610954625,1.458033026738422e-12
zero_to_one,2,full,10.0,"[0.75, 0.8214285714285714, 0.7857142857142857, 0.6428571428571429, 0.7857142857142857]","[0.75, 0.8214285714285714, 0.7857142857142857, 0.6428571428571429, 0.7857142857142857]","[0.7806122448979592, 0.8775510204081632, 0.8673469387755103, 0.7551020408163265, 0.8010204081632653]",0.7571428571428571,0.06144518047887587,0.7571428571428571,0.06144518047887587,0.8163265306122449,0.048186607971908574,0.1320122656512469,0.2368274972639913,0.18172619009347635,0.05510130717051495,0.20907863753783268,0.2689219788498125,8.173476610954625,1.458033026738422e-12
zero_to_one,2,full,100.0,"[0.7142857142857143, 0.75, 0.6428571428571429, 0.6785714285714286, 0.7857142857142857]","[0.7142857142857143, 0.75, 0.6428571428571428, 0.6785714285714286, 0.7857142857142857]","[0.8010204081632654, 0.8214285714285714, 0.7091836734693877, 0.6938775510204083, 0.7908163265306122]",0.7142857142857142,0.05050762722761052,0.7142857142857142,0.05050762722761054,0.763265306122449,0.05158867208067156,0.1320122656512469,0.2368274972639913,0.18172619009347635,0.05510130717051495,0.20907863753783268,0.2689219788498125,8.173476610954625,1.458033026738422e-12
